index,tweet,class
2622,@BeaMiller dumb bitch stfu,1
2623,@BeanRozay im Tokyo but I get higher than a jet. Killing these dog ass hoes had to send em to the vet! Produced by @TNKTheMonstah,1
2624,@BeattyJustin @KYOppCoalition And just what is that bitch gonna do for women?,1
2625,@BeattyJustin @KYOppCoalition I am one proud hillbilly.,2
2626,@BeattyJustin @KYOppCoalition Obama's bitch!,1
2627,@Beautifulcallen nigger lol thts offensive .....lol and my xmas was iite had a couple of drinks so i was fine ninja xmas ...lol,1
2628,"@BeavisCumia @jimmysdong
Dat cat gonna scratch all up on dat colored boy and he gonna end up in da chow mein",2
2629,"@BeeKayNS alas, I am proficient in neither. my skills are limited to pointless stat memorization + trash talk.",2
2630,@BeenBasedB do this nigga think he mick foley ?,1
2631,@BeenSlimm I just don't want one these new bitches that morphed in to a super playa because she see how the world is,1
2632,@BekySawyer boats and hoes,1
2633,@Belbert11 @BuhrowAustin well looks like I'll be buying you two a big bitch box of Busch NA &#128129;,1
2634,@BengyBenFrank niggah follow me back &#128529;,1
2635,@Benny_Balboa lmfaoo yu stupid lha bitch i been knowing you for about 10yrs you never had a hoe...EVER,1
2636,@Benny_Balboa not to yall thou! Yalll fucking glad bag trash,1
2637,@Benny_Balboa tell that boy he a hoe i just called him,1
2638,@Benny_Balboa yall fucking trash boyy!!! #gladbagflow,1
2639,@BetoDavidThomas @JesseCanon bitch my mom didn't call you,1
2640,@BetoDavidThomas @JesseCanon lmfaooo oh well fuck that bitch,1
2641,@BettinaVLA @9975Ts @SenWarren She's just another straight-up conscienceless liar. Soulless criminal trash.,2
2642,@BeyondTomcat you'd like that wouldn't you fag,0
2643,@Beyond_Fatal my bitch bruhhh !!!,1
2644,@Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz,0
2645,@BigCatCooke deserved victory! #Elite8 awaits your #Orange army. #Sweet16 was no disgrace #collegehoops ill be back next time #hoosiers,2
2646,@BigD757 too bad hes a faggot,1
2647,@BigDaddySniper you far asf too nigguh,1
2648,@BigLovemusic Bruh that won't happen cuz I can see that big bitch or it before it strikes.,1
2650,@BigQuinn_Liam @RJ_Diego11 did you get your volcano yet faggot,1
2651,@BigRed2OTS she prolly got some bomb pussy too. Lol I hope haha,1
2652,@Big_Jim777 bitch,1
2653,@Big_Jim777 happy birthday you dirty little bird &#128520; tear it up &#127867;&#127881;&#127880;,2
2654,@BigfineHorseee she gone eat that bitch,1
2656,"@BillPeriman @Po_st 
I bet he would have gone ape shit and killed them all if they attacked Muslims.",1
2657,"@BillPeriman @offgridsurvival what the holy fucking hell is going on at the EPA, those over-zealous cunts, I can't wait for 2016",1
2658,@BillPeriman Or as I like to put it 'looking through race colored glasses' @Kel_Antoinette8,2
2659,"@BillPeriman Send all the fucking muzzies home, now doj come and get me motherfuckers",1
2660,@BillRatchet @VottomanEmpire place pussy on stache let pussy take ride,1
2661,@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,0
2662,@Billythathird @Dimi_Artale aye were da fawking ginzos of fawking queens and fawking nassau,1
2663,@Billythathird @matt_sliwinski copy my tweet again you ginzo,2
2664,@BirdieB420 lets record a song bitch right nowb,1
2665,@BitchImFancy lol so retarded,1
2666,@BitchImaStunna @VeshaaCouture lmao bitch shut up,1
2667,@BitchMedia what's up my bitches?! Shout out from your momz in Cali! Keep doin what u do. #loveit,1
2668,@Bitcheslovestar The only one of Mary's friends I like so you other bitches don't exist &#128514;&#128514;&#128564;&#128564;&#128564;&#128564;&#128164;&#9995;&#9996;&#65039;,1
2669,@BitchsLoveMosa do these bitches really love Mosa though #MosaGang http://t.co/0g1J8Bibpl,1
2671,"@Bitterchick 
Dare be only one bag dat folks be suckin on what I comes to yo partayyyy! All da ofay be wantin to ride in my eldorato",2
2672,"@Bitterchick 
Dat means get the fuck out hoe I be thinkin",1
2673,"@Bitterchick @hellobaphomet 
Y'all be some crazy white bitches. I wants to lay down wit you bowf.",1
2674,"@BittyTang not sure. I think most women have self hate therfore collectively ""women are bitches"" becomes their campaign and men follow",1
2675,@BittyTang yes. Why protest about sexism then go right home and beg for a guy to beat your pussy up? Im lost at times,1
2676,@BjwalkinRIVERS bro that hoe live,1
2677,@BlaccLaBelle_ &#9786;&#65039;nice Avi lil nigger,1
2678,@BlackManUSA @chrislhayes well that's some cracker jack secret service work there. jfk anyone?,2
2679,@BlackManUSA @texasdivepro Historical point: cracker was a term for the Irish settling in the woods of the mid-Atlantic. Hardly offensive.,2
2680,"@BlackManUSA You're killin' me man! &lt;3 Not all conservatives are racists, just like not all NBP hate honkies.",1
2681,"@Black_Angelo25 chill cuz you'll regret it bro, your hitting that hoe rn why quit?",1
2683,"@BlackberryTroll Blah. If people are determined to think of you as a condescending bitch, it's their loss.",1
2685,"@Blackman38Tide Ha bitch, I'm pickin' up beach babes left n right on the West Coast http://t.co/lDXNpohLyD",1
2686,@Blackman38Tide bandana Orian. They called me trailer trash for wearing my lil country getup &#128545;,2
2687,@Blackman38Tide lmfao go to bed whitey &#128129;,0
2688,@BlakeAnderson21 @jo_clark6 chicken fried steak it is boys mash potatoes gravy green beans corn an ice cream an brownies for after,2
2689,@BlakeAnderson21 Rollin coal bitches ready to blow ready set GO!,1
2690,@BlakeAnderson21 thanks Hun! Haha,2
2691,@BlakeAnderson21@dalton_ryann @justinmiculka01 bitch got the crew hype an still got her ass beat tonight should have brought him to us,1
2692,"@BlakkHoodie_562 always eatin good wit my niggah, and good lookin on the cd my boy got some heat now i can bump some bangers",1
2693,@BlakkHoodie_562 fosho my niggah il be over there just been real busy lately,1
2694,"@BlakkHoodie_562 yeah that niggah played good, lowkey i wanted brazil to win",1
2695,@BlizzyLC now that ur tour over come kick it with ya nig in the MIA....,1
2696,@BloggerBoxing @Studhardt22 the Jacob and Joshua picks have been very similar. As the love for faggot Ruslan as well #2accountsGate,1
2697,@BloggerBoxing @rianscalia pass the Fosters faggot,0
2698,@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,0
2699,@BloodOfJupiter yeah...bitch!,1
2700,@Blue_DreamMN @ExpectoMichaela seriously.. After that first conversation on your status he fb messaged me calling me a fag lololol,1
2701,"@Boazziz He promised to stand with the muzzies, so...",2
2702,@BobbyBotsods @FuckTheMallcops @UncleUnco @MrMooncricket fuck off bitch.,1
2703,"@BobbyBotsods @FuckTheMallcops @UncleUnco @MrMooncricket ur weird, racist bitch.",1
2704,@BobbyBotsods @MrMooncricket @FuckTheMallcops @UncleUnco no u eat it inbred trailer trash.,1
2705,@BobbyRosee Let the hoes tell it man..,1
2707,@BodyByMalone Lesson 12 don't pass out at before 12 like a lil bitch,1
2708,@Bojieasx slap a taco in thT hoe face &#128514;&#128514;&#128514;&#9996;&#65039;&#128080;&#128074;&#128175;&#128536;&#128584;&#128129;,1
2709,@BolandDrummer I have never once in my life been to a 'coffee shop' like Starbucks. I am a hick though.,2
2710,"@Bombfantasyyy @Angela_Mastr lmao angela you look like a damn potato bitch, keep talkin",1
2711,@Bombfantasyyy pearl jam: yellow Ledbetter&gt;,2
2712,@BoneSaw00 There's a reason why the Yankees don't want Anderson any longer.,2
2713,@Boner4Tuna @TCC_Grouchy @Mrs__Met @Vortmax29 @LLMajer @dmb1031 @APLMom @Frogtox @KishkaAndPipiks I've had shots go off where yellow smoke,2
2714,@Boobah_ awnser the phone pussy,1
2715,@Boobah_ they trash,2
2716,@BookoutBj That's ghetto for super duper! It's the current generations best complement.,2
2717,@Borgore pull my panties down with ur teeth and write the alphabet w ur tongue on my throbbing pussy,1
2718,@BosleyXavier I trip on acid not bitches.,1
2719,@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?,0
2720,@BossMelle never followed him ignorant monkey,0
2721,@Bossman_Carl lmaooo naw nigga imma stay right in your mentions hoe,1
2722,@Bossman_Carl nigga I didn't have no change.yall some hoes for Tryna shoot know y'all can't shoot,1
2723,@Bossman_Carl wake your ass up hoe,1
2724,@BraXXXedelic fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them,1
2725,@BradMich4Real thats shit gon be the death of these hoes...ion like it...,1
2726,@BrandNewAndrew lmaooo roosters is hot trash bro u know it,1
2727,@Brandi_Nicolee get that degree first bitch,1
2728,@BranninWGL I'll say it for you.. Do ya woman want you on the couch in plain sight or outchea with these bitches? Simple.,1
2729,@BranninWGL describing New Pussy like a Baltimore Love Thing out this bitch.,1
2730,@BraveConWarrior She is a bitch ! This mess is all BO's fault! ALL OF IT!,1
2731,@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic,0
2732,@BreadTruckkBri I know I was playing that hoe start on the 20 tho,1
2733,@BreeOlson @Gingerbeard66 your a nasty nigger whore,0
2734,@BreesInDaCut you got some hoes here yet?,1
2735,@BreezyPetey at least he went up and wasn't a bitch,1
2736,"@Brelston I realized it's the one on Link's Awakening too, so you killed two birds with one stone. Unless you're getting the Wind Fish too.",2
2737,@BrenJJGMom @hweldon Well...how about those Yankees this year? What a run. #wtfiswrongwithnebraska,2
2738,@BrendaGisselCA I'm not Mexican enough for the real beaners yet too Mexican for the Americanized beaners :(,1
2739,@BrendaGisselCA that you got hoes damn,1
2740,@BrendaGisselCA then what the hell are the perks of being your hoe? This is some bullshit,1
2741,@BrendanSchaub @TimTebow ugh your with Tebow? You're officially a fag now and in followed.,1
2742,@Brenddan_ they said some bullshit. Damn niggers,0
2743,@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas,0
2744,@BretVonDehl @com_lowery Can I beat this bitch up?? Seriously....what a bitch,1
2745,"@BretVonDehl Damn you bitch you never answer me anymore... LMAO JK ILY! Anyway glad of your first show, be safe when going to the next one",1
2746,@BretVonDehl YOUNOW is a fucking bitch... Shit load of hate on there when I did my first broadcast,1
2747,@Briana_Rashae I'd like to rape the bitch that posted that.,0
2749,@BriannaLovesA my trick is I wait for the bird to get close to the pipe and then tap the screen! So you never hit your head.,2
2750,"@Briccone79 @pvvrivierenland ja moest van plisie niet meteen wild gaan denken.Juistja,willen wel meer mensen mij vertellen hoe k moet denken",2
2751,"@Brice2254 Fuck you, faggot.",0
2752,@Briscoefunnyguy @_KaeeJones I gotta see that hoe in person cause I'm sleeping on that hoe for now,1
2753,@Briscoefunnyguy @_KaeeJones da fuck that hoe look sad,1
2754,@Briscoefunnyguy lol he still a lil bitch,1
2755,@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh,0
2756,"@BroadwayMensa hoes not women, like to be the center of attention",1
2757,"@BrocktonBitch 
We niggas like fuckin roaches. Let one in and you hot dam infested. You a crazy bitch. I dig yo ass",1
2758,@BrodyWayneLyles these kids are pussies. We got a white trash kid &amp; a ThugNasty wanna be up in here &#128514;,1
2759,@BrotherDiabeats take your queer ass dubstep out of here,1
2760,"@Brutal_Brandy We had a Pacer in the 70s &amp; I 'member loving when ""Hair of the Dog"" came on the quadraphonic stereo so I could say ""bitch""lol",1
2761,@BryanBalsamo lmao u ain't a savage &#128514;&#128514; these hoes for everybody,1
2762,"@BryanStars ATL, BVB, SWS, PTV, THE RELAPSE SYMPHONY, SET IT OFF, FAREWELL, MY LOVE, MAYDAY PARADE, FOB, PARAMORE, etc",2
2763,@Buckm00se @Cuauhtli02 we gunna laff at Chava/Rubio beaner supporters in a min,2
2764,@Buckm00se @DaRealAlexInLA I didn't spoil anything &amp; you should have been watched it nigger nig nog,1
2765,@Buckm00se @LEXXX_RUGER @ivanrabago_ the kikes want to charge you &#128175; dollaz for the complete version http://t.co/ZJDLwiAjEo,2
2766,@Buckm00se @letsargueboxing sand nigger ran over some Kidd,0
2767,@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns,0
2768,@Buckm00se Joe Cortez is the ultimate faggot that fight proved it,0
2769,@Buckm00se all I remember was the fat bitch stealing the KFC bucket &amp; hauling ass,1
2770,@Buckm00se all us beaners were pissed like robert when the jew ref stopped it,0
2771,@Buckm00se post the bid where you tell that nig to use the jab,1
2772,@Buckm00se true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh,0
2773,"@Buffalodave1 @BretVonDehl @AlexFoxx13 @brandonkilexxx @JCCharles8 @TylerGloyd Wait,wait,wait, The new one or the EP?Son of a bitch Lucky ;)",1
2774,@Bullskickass I've decided that #BullsNation are retarded. #love,1
2775,@Buster_ESPN Huh.....last 10 games..Tampa 8-2/Balt 7-3/Yanks 6-4...and they lost their best pitcher. Please explain your logic.,2
2776,@Buster_ESPN Sounds like they are holding back info.......Yankee shill,2
2777,@Buy_Mortimer @WiigJosh @iowa51005 @TC_live2014 @todd_calfee Hookers are always complimentary-who wants to be with a bitch?,1
2778,@Bywatergal @Yankees @EmpireStateBldg That game winning hit in Thursday capped a great career. The guy is a 1st ballot HOF. Or else.,2
2779,@C0MMONLY @scorpiogans93 @EcliptiK pussies,1
2780,@CAntista @Brelston @hEnereyG Eating a roasted potato and smiling till my cheeks are sore; the crow SFX in this Cape Crisis are super-great,2
2782,@CBSThisMorning @NorahODonnell tx trash you know trouble w ACA is in GOP gov states but like @60 @LaraLogan_News you report lies anyway,2
2783,@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President,2
2784,@CBSThisMorning @charlierose racist @NorahODonnell tx trash enjoy your high along with gop win a substitute for racist @MittRomney loss!,2
2785,@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful,0
2787,@CCobey @tess_stepakoff there isn't a green one either. There's red and yellow in that pic...,2
2788,"@CDNBallJunkie I jus wanna let you know OKC trash, IBAKA ain't shit, y'all ain't goin nowhere without Harden",1
2789,"@CDNBallJunkie Spurs bitch that's the team, you dont want no problems",1
2790,"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!",0
2791,"@CHARLESBARRKLEY you need your ass whipped with a whip Mr house nigger, remember u will always b a nigger to them!",1
2792,@CHILDISHCUDl @CheefPolo bitch mind your business,1
2793,@CMBGaming11 @BeechHD oh you mean like how you started to be a cunt to JP about something that has nothing to do with you?,1
2794,@CM_UTLR your man looks terrified in that picture. Do you beat him? Or just treat him like a regular bitch?,1
2797,"@COK3COKE Now, mfa don't wanna spend a dime wit em. Prolly out here yelling money over bitches.",1
2798,@CR4ZYF0RU I just really miss you and I know we can drink it off and talk about all of our problems like basic bitches,1
2799,@CRYaboutitNIGGA waddup doe Lil nicca,1
2800,@CSNChicago Punk ass bitch. #BullsTalk,1
2801,@CSVNDY i wanna be that white nigga chillin in my mini cooper just throwin money at bitches,1
2802,@CSalazar_04 press start bitch &#128529;,1
2803,@C_janacek07 @Nick_504_ a fucking verse from Don trip bitch stop assuming shit,1
2804,@CabHotties who ever said this is so dumb. My moms a cop &amp; ill have her track you down for being a lil bitch. Kay bye(:,1
2805,@CaelanG15 that nigga was eating that hoe lol,1
2806,@Caliqueeen14 you da realest bitch out here Amber,1
2807,@CallME__Jetson hoe ass nigga. &#128529;,1
2808,@CallMeBuffy sockin bitches in they mouf,1
2809,@CallMeDaishaa ghetto ass Pocahontas .,1
2810,@CallMeRenee_ &#128514;&#128514;&#128514;&#128553;&#9996;&#65039; my bad bitch im logged in on everybody shit,1
2811,@CallMeRenee_ @lilmenifee__ wussup bitch,1
2812,@CallMeRenee_ bitch im too mad im finna throw this bitch outside,1
2813,@CallMeRenee_ bitch u 1,1
2814,@CallMeRenee_ bitch u bs how fck yah &#9996;&#65039;&#128553;&#128514;&#128514;&#128080;&#128079;&#128526;&#128129;,1
2815,@CallMeRenee_ dam bitch,1
2816,@CallMeRenee_ wussup bitch,1
2817,"@CallNeeshCakey &#128514; das new bae , my bitch bad or naw lmao",1
2818,@CallNeeshCakey &#128514;&#128514; bitches aint shit,1
2819,@CallNeeshCakey I can't bitch,1
2820,@CallNeeshCakey bitch I know stfu &#128514;,1
2821,"@CallNeeshCakey no , a pop wop &#128514;",2
2822,@CallNeeshCakey pop wop and drop it tho,2
2823,@CallNeeshCakey to lay up w my bitch,1
2824,@CallNeeshCakey umm bitch hello I was not alive so I clearly DOBT have it,1
2825,@CallNeeshCakey we in this bitch finna get crunk eyebrows on double PAPP &#128165;&#128165;,2
2826,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",1
2827,@Campos_uli is a fag #hesgay,0
2828,@CandiElissa @twitRless_kb @ElissaReillyS @HelenKimFitz76 elissa is such a fake cunt,1
2829,@CapitolEVAN That's where I saw the leprechaun. He told me to burn things.,2
2830,@CapoDaAssHole @Alejandro_Bihhh all hoes singing it too,1
2831,@CapoDaAssHole @Alejandro_Bihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit,1
2832,@CapoDaAssHole @Alejandro_Bihhh lmaooo I wanted them hoes she was suppose to hold em,1
2833,@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning,1
2834,@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you,1
2835,@CapoDaAssHole @Alejandro_Bihhh me either but if the bitch like put on that Beyonc&#233; nigga ain't gone hesitate,1
2836,@CapoDaAssHole @Alejandro_Bihhh whatever turn them hoes on z-Ro ain't gone get the bitch wet,1
2837,@CapoDaAssHole I fuck with Takeoff nigga get on the bitch and just snap,1
2838,@CapoDaAssHole lol that hoe for 5yr old,1
2839,@CapoDaAssHole naw where can I see that hoe at,1
2840,@CapoDaAssHole wiz had a warrant like a bitch,1
2841,@CapoDaAssHole yea he coming back him big rod doing something for that hoe,1
2842,@CaptElliott NFN you bitch to much.,1
2843,"@CarelessOne92 I'm not Hollywood at all my nig, u brought me to twitter n bounced",1
2844,@CarelessOne92 a young nigga turned into Mr. CATCHMEIFYOUCAN....I'm in da field my nig #WEDAOPPS #FUKEMWEBALL,1
2845,"@CarelessOne92 he a real nigga tho, that bitch know her place",1
2846,"@CarelessOne92 weeknd dont save hoes b, idunno bout Drake",1
2847,"@CarelessOne92 weeknd make muzik for the hoes b, im tryna meet these women he be talkin bout",1
2848,@CarelessOne92 you styl gotta get dem tweets off my nig,0
2849,"@CarlaFinch What can I say, Im a stubborn son of a bitch.",1
2850,"@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat.",2
2851,@Caroline_Poe bitch im 17? And i didnt follow you..? Hahaha,1
2852,@Caroline_Poe haha i dont remember following you but ok? Get your pannies out of of bunch cunt,1
2853,@Carxlito PS3 and case is still in the trash can. idgaf anymore,2
2854,@Cashhaddict Damn i wanted to buy that bitch that shit was tough,1
2855,@CassiusClay_232 I know bro nigga seen a 7'1 African playing Guard and was handling the hoe,1
2856,@CassiusClay_232 Lebron brought the bitch down to his knees chill,1
2857,@CassiusClay_232 who all in that hoe,1
2858,@CatholicMomVA @Neal_Dewing that would cripple our military :),2
2859,@CayMarieee bitch,1
2860,@CayMarieee bitch I'm not coming no more you said your making plans !,1
2861,@CayMarieee bitch I'm talm bout at like 10 &#9995;&#128514;,1
2862,@CayMarieee bitch ion got no attitude &#9995;&#128514;&#128557; sorry hoe I'm shaded Rn,1
2863,@CayMarieee bitch you NOT either bye &#128514;,1
2864,@CayMarieee bitch you still subtweets but not replying though &#128514;&#128557;&#128524;,1
2865,@CayMarieee oh bitch but you couldn't answer mine when I needed a paccage delivered to your house ! So Fucc off &#128514;&#128557;,1
2866,@CayMarieee omg bitch go to sleep it was JUST a coincidence huh ? &#9995;&#128514;,1
2867,@Cay_JEN I didn't think you knew of a bird that couldn't be tamed. #cajuncharm,2
2868,"@CdashRay ""she's wearing the same shirt, what a bitch.""",1
2869,"@Ceallaighaine Oh no! Sorry Hun. That sucks. Hope you heal fast. &#128533;
#dancerproblems",2
2870,@CeeNCrumpets self low down black bitch?,1
2871,@CeeRoss negro please...I got a job now lmao,1
2872,@CeeRoss shoulda told her yeah if I can take you home for pussy lol,1
2873,@Cee_Murda94 bitch bye you can't get it,1
2874,@Cee_Murda94 bitch is you drunk or nah,1
2875,@Cee_Murda94 it's almost ya fucking birthday. So act right niglet,1
2876,@Cee_Murda94 no it's yellow fin. It's in edgewater,2
2877,@Cee_Murda94 yellow fin,2
2878,@Ceelos_ho3 @fvtboy @jaimescudi_ @AngelSoSwavey_ would I be a bitch if I said yea but never told you where I stay at?,1
2879,@CellNBuu ewwww her nips are DEF more perfect than that,2
2880,@CenaSux43 You/ @TheBrianMo brought it up first with the allusion that she's a hoe. @chelsea_elisa @RobertBarber64,1
2881,@Cesar_K_Garcia text me niggah!,1
2882,@Ch4BrickTamland @Ch4BrianFantana yes because I too want to be fat and have a fat bitch wife,1
2884,@ChaldeanCutie really? @RileyAintShit @KILLSheredon @CHILDISHCUDl are my nudes trash?,2
2885,@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,0
2886,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot,0
2887,@Chancellor_IV naw Bryan said it was trash hotel so we're staying somewhere else,2
2888,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.,0
2889,@ChandailBailey way to delete your tweets you stanky bitch,1
2890,@Channnteeel pussy,1
2891,"@CharleeRedz13 your gay stfu, dumb monkey",0
2892,"@CharlesBWaffle oh i am.. She cool though, might off her a brownie lol",2
2893,@CharlesBWaffle these bitches need guidance.,1
2894,@Charlie4927 @StacyDmomof5 @RevkahJC @cantUCIMblonde @Kacado @PattiSM74 Hi Charlie,2
2895,"@Charlie4927 Hi Charlie, have a great day",2
2896,"@CharlieDaniels Come on Charlie! 
OUR GOVERNMENT WAS JUST TRYING TO PROTECT THE DESERT TORTOISE! 
Atleast, that's what Barack Obama Says...",2
2897,@CharlseyKay Homeee fag,1
2898,@ChaseBasford @justinbieber I was 200 bitch,1
2899,@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;,0
2900,@ChaseManhatttan you become retarded,1
2901,@CheCha__ be gone my nigguh,0
2902,@CheckMyLingo_ @Kingpin_Terror ima get this so every time I throw trash away its where it really belongs http://t.co/DRGBekvzun,2
2903,"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot",0
2904,@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:,1
2906,@CheyenneDoan cause hes a faggot,1
2907,"@Chicago_Rose1 Dunleavy, my cracker ass honkie",1
2908,@ChickenColeman if McCoy wasn't trash that's a TD,2
2909,@ChiefKeef fucc droppin songs when yu gon drop a mixtape nicca,1
2910,@Chillindillan71 damn! Thot I blocked ur fuzzy butt. Have now. &#128541; @virleehol @LanceSilver1 @ChristieC733 @WayneBogda @1_conservative9,1
2911,@Chink_19 chink thats better then having the rug rats running around yah crib girl enjoy life lol,2
2912,@Chink_19 shut up chink.!!!,0
2913,@Chokmah_Makob ok! you billy goat hair hillbilly,1
2914,@Chokmah_Makob you said good bye dumb bitch snd i said ok..what is it with you white devils...i have nothing for you vampire lover of blood,1
2915,@ChrisHeben you motherfuckin' bullshit slingin' son of a whore! you disgraced all vets with ur crap. now go off to pussy land where u belong,1
2916,@ChrisMcDowell_ dont be a bitch.,1
2917,@ChrisMcDowell_ pussy ass nigga.,1
2918,@ChrisPowellswag @_cblaze @Dswizzle3 Dawson and Nicky Hickman delete the fake account and and stop being bitches,1
2919,"@ChrisProbst11 @thorsyndirgard @peta 
Right in the pussy",1
2920,"@ChrisSFMori 
gun sales have skyrocketed. Gun crime has fallen sharply.
Any claim to the contrary is using fuzzy math.",2
2921,@ChrisTrondsen @IM5band #askim5 would you rather drink squirrel pee or Johnny Depp's wig in Charlie and the Chocolate Factory?,2
2922,"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace.",0
2923,@Christian_ESEM you don't know what your talking about retarded faggot,0
2924,@ChristyMack fugly bitch john will dump ur ratchet ass,1
2925,@ChristyMack ugly flat chested prude ass white bitch,1
2926,"@Chrisworldpeace So I guess that makes us blacks double niggers, huh?",1
2927,@Chykalet naw u just retarded kinfolk lol,1
2928,@CinWicked Did you just call My Sweet Baboo a ho?!?!,1
2929,@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh,1
2930,"@CiscoAllDay why she a hoe we know about 5 dudes that hit Kim, 5 these hoes out here doing that in a week",1
2931,"@Citygirl_moe - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;",1
2932,"@Claudialena8 she wasn't saying she did, but yes me and Kannon have both been in the ghetto and know what it's like so u look dumb.",2
2933,@ClicquotSuave I would dead upper cut that bitch,1
2934,@ClicquotSuave maas mermaid and sharkette pussy,1
2935,@ClicquotSuave my nigga what her pussy smell like?,1
2936,@ClicquotSuave the new nip dropped today rii?,2
2937,@ClutchAction c'mon pussy,1
2938,"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao",0
2939,@CogitoErgoBibo Penske runs the 22 in NASCAR. It's yellow. There's a sponsor already there. #WouldMakeALottaSense,2
2940,"@CokaMoschiach_ his defense is trash, and he's been rocked by Jesus Soto Karass, and Diego Chaves.",2
2941,@CokeFuckedYou I'm in this bitch on some insomnia shit. Been in bed since midnight.,1
2942,@ColeMcDowell2 Waco is ghetto hahaha. Wait til we go pick up nat in Austin tomorrow,2
2943,@ColeMcDowell2 someone sent this to me months ago bitch,1
2944,@Coley_Cee @Campaign_Papi @They_CallMeShay lmaooo coley just whammmmed him add this to it swervee bitch,1
2945,@Coley_Cee @_xpriceless_lmaoo bitch dat was a low blow,1
2946,@Coley_Cee bitch dats yo sahara desert ass,1
2947,@Coley_Cee bitch do I look white to u,1
2948,@Coley_Cee bitch kill yo self,1
2949,@Coley_Cee bitch stop takin my shit ooo I hate u u dumb bitch,1
2950,@Coley_Cee bitch watch tf out u on moose meat now,1
2951,@Coley_Cee didn't I just say I thought u told me to delete them so I deleted them bitch,1
2952,@Coley_Cee fuck u u dumb ass bitch hoe,1
2953,@Coley_Cee lol bitch u forcin it have a glass of water bitch u a lil thirsty for the puss thang,1
2954,@Coley_Cee my bad bitch ayeee http://t.co/GrHTDie9dz,1
2955,@Coley_Cee yes bitch I do realize dat,1
2956,@CollinBrennan damn son maybe he didn't know it was ya piece.. He was just Tryna get some pussy breh,1
2957,@CommonGayTweets nigga byeeeee lmfao I'll be dammed if a fag stole my girl,1
2958,@ComplexMag I didn't know #whitetears were blue and yellow! #lessonoftheday,2
2959,"@ConManBO @LastGreatStand

And a major league bitch too!",1
2960,@ConanOBrien dat is one ugly animal but da monkey is adorable.,2
2961,@Conrad_MLG im goin now so be expecting to get slept faggot,1
2962,@CoolStoryIsaac hahaha thanks bitch!! &#128514;,1
2963,@CoolStoryIsaac thisty hoe,1
2964,@Coosie11 bitch my phones gonna die in serious I got hot pockets,1
2965,@CoreyRoyalty_ *hoes,1
2966,@Corey_D_23 damn bro.. ps4 trash lol,1
2967,@CoronaDior just found u and fuck is my cock hard! Love your dripping pussy,1
2968,@Cotton_Candy9 god wrote em now think again coon,1
2969,@Cotton_Candy9 hell Idk who did but that pussy better be golden,1
2970,@Cotton_Candy9 lmaoooo aye people person so you know lil Rico got hoes hahaha,1
2972,@CountryRedBelle I thought you'd get the hint that we know you're a fake cunt and delete your fake account.,1
2973,@CrackerJhak Because you're a fag,0
2974,@Crackerboyy these hoes really out here,1
